virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
0.0000,70200.0000,1776927681.875510867,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37604,21,76
1.0010,70201.0010,1776927682.697239649,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37620,21,76
1.0010,70201.0010,1776927682.712150308,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37630,21,76
1.0010,70201.0010,1776927682.887929378,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37604,21,76
2.0011,70202.0011,1776927683.715956113,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37630,21,76
2.0011,70202.0011,1776927683.719963136,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37620,21,76
2.0011,70202.0011,1776927683.758867121,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37634,21,76
3.0011,70203.0011,1776927684.672247796,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37650,21,76
3.0011,70203.0011,1776927684.679070146,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39478,443,76
3.0011,70203.0011,1776927684.698649215,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39490,443,76
3.0011,70203.0011,1776927684.702675761,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39498,443,76
3.0011,70203.0011,1776927684.775936131,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37634,21,76
3.0011,70203.0011,1776927684.903961515,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37604,21,76
4.0011,70204.0011,1776927685.690051267,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37664,21,76
4.0011,70204.0011,1776927685.699941038,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39478,443,76
4.0011,70204.0011,1776927685.699942862,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39490,443,76
4.0011,70204.0011,1776927685.699944258,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37650,21,76
4.0011,70204.0011,1776927685.713943447,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37668,21,76
4.0011,70204.0011,1776927685.722762865,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37674,21,76
4.0011,70204.0011,1776927685.731938813,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37620,21,76
4.0011,70204.0011,1776927685.735941964,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39498,443,76
4.0011,70204.0011,1776927685.735943660,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37630,21,76
5.0011,70205.0011,1776927686.691964845,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37664,21,76
5.0011,70205.0011,1776927686.697350405,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39510,443,76
5.0011,70205.0011,1776927686.723935961,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37674,21,76
5.0011,70205.0011,1776927686.723937869,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37668,21,76
5.0011,70205.0011,1776927686.729264724,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37684,21,76
5.0011,70205.0011,1776927686.787960505,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37634,21,76
6.0011,70206.0011,1776927687.673393532,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37694,21,76
6.0011,70206.0011,1776927687.681324166,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39522,443,76
6.0011,70206.0011,1776927687.715953180,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39490,443,76
6.0011,70206.0011,1776927687.719922818,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,37650,21,76
6.0011,70206.0011,1776927687.719944144,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39510,443,76
6.0011,70206.0011,1776927687.719945772,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,39478,443,76
