virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
0.0000,82800.0000,1776916622.079854299,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56084,21,76
1.0009,82801.0009,1776916622.875267194,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46448,443,76
1.0009,82801.0009,1776916622.898390782,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46454,443,76
1.0009,82801.0009,1776916622.922510499,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46468,443,76
1.0009,82801.0009,1776916622.938395503,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46484,443,76
1.0009,82801.0009,1776916623.107985410,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56084,21,76
2.0012,82802.0012,1776916623.879949458,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46448,443,76
2.0012,82802.0012,1776916623.907953930,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46454,443,76
2.0012,82802.0012,1776916623.910224139,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46498,443,76
2.0012,82802.0012,1776916623.939935933,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46484,443,76
2.0012,82802.0012,1776916623.939937246,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46468,443,76
3.0011,82803.0011,1776916624.914138813,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56086,21,76
3.0011,82803.0011,1776916624.931959300,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46498,443,76
3.0011,82803.0011,1776916624.963210151,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46506,443,76
3.0011,82803.0011,1776916625.123995889,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56084,21,76
4.0012,82804.0012,1776916625.895953506,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46448,443,76
4.0012,82804.0012,1776916625.908481026,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46512,443,76
4.0012,82804.0012,1776916625.923956459,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56086,21,76
4.0012,82804.0012,1776916625.927935656,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46454,443,76
4.0012,82804.0012,1776916625.955943972,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46468,443,76
4.0012,82804.0012,1776916625.955945412,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46484,443,76
4.0012,82804.0012,1776916625.987963285,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46506,443,76
5.0012,82805.0012,1776916626.919939107,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46512,443,76
5.0012,82805.0012,1776916626.951938043,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46498,443,76
5.0012,82805.0012,1776916626.952642659,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46526,443,76
6.0012,82806.0012,1776916627.899647333,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56100,21,76
6.0012,82806.0012,1776916627.943951180,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56086,21,76
6.0012,82806.0012,1776916627.965000932,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46540,443,76
6.0012,82806.0012,1776916627.975943932,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46526,443,76
6.0012,82806.0012,1776916627.979793682,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46556,443,76
6.0012,82806.0012,1776916628.007969953,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46506,443,76
7.0011,82807.0011,1776916628.903935266,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56100,21,76
7.0011,82807.0011,1776916628.910954072,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,55656,21,76
7.0011,82807.0011,1776916628.917833907,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,55660,21,76
7.0011,82807.0011,1776916628.935941301,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46512,443,76
7.0011,82807.0011,1776916628.954317104,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,55668,21,76
7.0011,82807.0011,1776916628.995935390,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46540,443,76
7.0011,82807.0011,1776916628.995959005,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46556,443,76
7.0011,82807.0011,1776916629.251986976,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56084,21,76
8.0012,82808.0012,1776916629.889296750,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,55672,21,76
8.0012,82808.0012,1776916629.919538931,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,45992,443,76
8.0012,82808.0012,1776916629.923924317,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,55660,21,76
8.0012,82808.0012,1776916629.923944910,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,55656,21,76
8.0012,82808.0012,1776916629.941780203,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46008,443,76
8.0012,82808.0012,1776916629.955930352,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,55668,21,76
