virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
0.0000,39600.0000,1776914785.013731589,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49812,443,76
0.0000,39600.0000,1776914785.028912929,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33678,21,76
1.0010,39601.0010,1776914785.889123307,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33688,21,76
1.0010,39601.0010,1776914786.019958073,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49812,443,76
1.0010,39601.0010,1776914786.051970965,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33678,21,76
2.0011,39602.0011,1776914786.873067471,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33696,21,76
2.0011,39602.0011,1776914786.915938387,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33688,21,76
3.0011,39603.0011,1776914787.854641202,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49816,443,76
3.0011,39603.0011,1776914787.865481019,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49824,443,76
3.0011,39603.0011,1776914787.875411479,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49834,443,76
3.0011,39603.0011,1776914787.875939591,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33696,21,76
3.0011,39603.0011,1776914787.903020837,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49848,443,76
3.0011,39603.0011,1776914788.035956029,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49812,443,76
3.0011,39603.0011,1776914788.067937771,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,33678,21,76
4.0011,39604.0011,1776914788.860755729,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,56066,21,76
4.0011,39604.0011,1776914788.867922165,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49816,443,76
