UnixTimestamp,NormalizedPacketCount
0,0.002023351679715606
600,0.0020172802369181056
1200,0.001999759787702461
1800,0.0019718311508339584
2400,0.0019345351450778838
3000,0.0018889125891995227
3600,0.001836004301964161
4200,0.0017768511021370845
4800,0.0017124938084835787
5400,0.0016439732397689297
6000,0.0015723302147584235
6600,0.0014986055522173457
7200,0.0014238400709109817
7800,0.0013490745896046184
8400,0.0012753499270635404
9000,0.001203706902053034
9600,0.0011351863333383852
10200,0.0010708290396848794
10800,0.001011675839857803
11400,0.0009587675526224409
12000,0.00091314499674408
12600,0.0008758489909880052
13200,0.0008479203541195029
13800,0.0008303999049038586
14400,0.0008243284621063577
15000,0.000830746844492287
15600,0.0008506958708269321
16200,0.0008852163598755776
16800,0.0009353491304035104
17400,0.0010021350011760167
18000,0.001086614790958381
18600,0.0011898293185158904
19200,0.0013128194026138294
19800,0.0014566258620174852
20400,0.001622289515492141
21000,0.0018108511818030876
21600,0.002023351679715606
22200,0.002553995780217152
22800,0.003233476964154569
23400,0.004042019674987425
24000,0.004959848356175293
24600,0.005967187451177737
25200,0.00704426140345433
25800,0.008171294656464646
26400,0.009328511653668246
27000,0.010496136838524706
27600,0.011654394654493591
28200,0.012783509545034476
28800,0.013863705953606927
29400,0.01487520832367052
30000,0.015798241098684815
30600,0.016613028722109385
31200,0.017299795637403803
31800,0.017838766288027635
32400,0.018210165117440454
33000,0.018409655380786896
33600,0.018457186104401616
34200,0.01836941038852918
34800,0.018162981333414163
35400,0.017854552039301134
36000,0.01746077560643467
36600,0.016998305135059347
37200,0.016483793725419735
37800,0.015933894477760398
38400,0.015365260492325917
39000,0.014794544869360868
39600,0.014238400709109816
40200,0.013713481111817347
40800,0.013236439177728015
41400,0.01282392800708641
42000,0.012492600700137097
42600,0.012259110357124646
43200,0.012140110078293636
43800,0.012177872284121663
44400,0.012428156671586482
45000,0.012843540935694764
45600,0.013376602771453174
46200,0.013979919873868372
46800,0.01460606993794703
47400,0.015207630658695813
48000,0.01573717973112138
48600,0.016147294850230403
49200,0.016390553711029546
49800,0.016419534008525465
50400,0.016186813437724847
51000,0.01595778858668065
51600,0.015654337062521912
52200,0.015282825748789409
52800,0.01484962152902391
53400,0.014361091286766185
54000,0.013823601905557011
54600,0.013243520268937155
55200,0.012627213260447393
55800,0.011981047763628492
56400,0.011311390662021229
57000,0.01062460883916637
57600,0.009927069178604692
58200,0.009225138563876963
58800,0.008525183878523957
59400,0.007833572006086444
60000,0.007156669830105199
60600,0.0065008442341209895
61200,0.005872462101674591
61800,0.005277890316306773
62400,0.004723495761558308
63000,0.004215645320969966
63600,0.003760705878082523
64200,0.0033650443164367464
64800,0.003035027519573409
65400,0.0028471705743014592
66000,0.002676552189829556
66600,0.002522456803256565
67200,0.0023841688516813516
67800,0.002260972772202783
68400,0.0021521530019197243
69000,0.002056993977931042
69600,0.001974780137335602
70200,0.0019047959172322697
70800,0.001846325754719912
71400,0.001798654086897394
72000,0.0017610653508635826
72600,0.0017328439837173434
73200,0.001713274422557543
73800,0.0017016411044830462
74400,0.00169722846659272
75000,0.0016993209459854298
75600,0.0017072029797600425
76200,0.0017201590050154236
76800,0.0017374734588504375
77400,0.0017584307783639532
78000,0.001782315400654835
78600,0.0018084117628219478
79200,0.001836004301964161
79800,0.0018643774551803376
80400,0.001892815659569344
81000,0.0019206033522300478
81600,0.0019470249702613132
82200,0.001971364950762008
82800,0.0019929077308309955
83400,0.0020109377475671453
84000,0.0020247394380693198
84600,0.0020335972394363877
85200,0.0020367955887672135
85800,0.0020336189231606647
86400,0.002023351679715606
