virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
1.0010,39601.0010,1776800251.524288560,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41480,21,76
2.0011,39602.0011,1776800252.524050275,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41494,21,76
2.0011,39602.0011,1776800252.534037342,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41480,21,76
2.0011,39602.0011,1776800252.548470676,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44084,443,76
3.0012,39603.0012,1776800253.523767881,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41498,21,76
3.0012,39603.0012,1776800253.554037464,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41494,21,76
3.0012,39603.0012,1776800253.554039933,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44084,443,76
4.0012,39604.0012,1776800254.529666901,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44100,443,76
4.0012,39604.0012,1776800254.532616224,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44104,443,76
4.0012,39604.0012,1776800254.545665976,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44106,443,76
4.0012,39604.0012,1776800254.546040320,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41480,21,76
4.0012,39604.0012,1776800254.546041442,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41498,21,76
5.0012,39605.0012,1776800255.532305996,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41506,21,76
5.0012,39605.0012,1776800255.538048996,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44100,443,76
5.0012,39605.0012,1776800255.538050604,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44104,443,76
5.0012,39605.0012,1776800255.570075224,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41494,21,76
5.0012,39605.0012,1776800255.574058388,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44106,443,76
5.0012,39605.0012,1776800255.574060291,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44084,443,76
6.0011,39606.0011,1776800256.521865805,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41516,21,76
6.0011,39606.0011,1776800256.527920392,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41522,21,76
6.0011,39606.0011,1776800256.562066474,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41498,21,76
6.0011,39606.0011,1776800256.562068824,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41506,21,76
7.0011,39607.0011,1776800257.523023347,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48196,443,76
7.0011,39607.0011,1776800257.526053347,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41516,21,76
7.0011,39607.0011,1776800257.554055459,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41522,21,76
7.0011,39607.0011,1776800257.554057349,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44104,443,76
7.0011,39607.0011,1776800257.554058141,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44100,443,76
7.0011,39607.0011,1776800257.586100003,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44106,443,76
8.0011,39608.0011,1776800258.546042387,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48196,443,76
8.0011,39608.0011,1776800258.578048250,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41506,21,76
8.0011,39608.0011,1776800258.738078097,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41480,21,76
9.0012,39609.0012,1776800259.542068344,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41516,21,76
9.0012,39609.0012,1776800259.570032063,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41522,21,76
9.0012,39609.0012,1776800259.762080945,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44084,443,76
10.0014,39610.0014,1776800259.762084070,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41494,21,76
10.0014,39610.0014,1776800260.523784986,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48210,443,76
10.0014,39610.0014,1776800260.562082964,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48196,443,76
11.0011,39611.0011,1776800260.786056577,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41498,21,76
11.0011,39611.0011,1776800261.532607214,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46536,21,76
11.0011,39611.0011,1776800261.539106377,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48226,443,76
11.0011,39611.0011,1776800261.554039512,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48210,443,76
11.0011,39611.0011,1776800261.556818148,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48228,443,76
12.0011,39612.0011,1776800261.810078278,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44104,443,76
12.0011,39612.0011,1776800261.810081478,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44100,443,76
12.0011,39612.0011,1776800261.810084195,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44106,443,76
12.0011,39612.0011,1776800262.525236998,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46542,21,76
12.0011,39612.0011,1776800262.546041770,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48226,443,76
12.0011,39612.0011,1776800262.546042975,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46536,21,76
12.0011,39612.0011,1776800262.555465665,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46558,21,76
12.0011,39612.0011,1776800262.578028180,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48228,443,76
13.0011,39613.0011,1776800262.834090663,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41506,21,76
13.0011,39613.0011,1776800263.520838837,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46568,21,76
13.0011,39613.0011,1776800263.538060385,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46542,21,76
13.0011,39613.0011,1776800263.548340337,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48236,443,76
13.0011,39613.0011,1776800263.570058676,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48210,443,76
13.0011,39613.0011,1776800263.574032142,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46558,21,76
13.0011,39613.0011,1776800263.602066768,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41516,21,76
13.0011,39613.0011,1776800263.602068808,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,41522,21,76
14.0012,39614.0012,1776800264.524905735,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48240,443,76
14.0012,39614.0012,1776800264.529231789,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48248,443,76
14.0012,39614.0012,1776800264.534051066,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46568,21,76
14.0012,39614.0012,1776800264.562067146,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48236,443,76
14.0012,39614.0012,1776800264.562068079,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48226,443,76
14.0012,39614.0012,1776800264.566073616,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,46536,21,76
14.0012,39614.0012,1776800264.594059057,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48228,443,76
