virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
0.0000,54000.0000,1776783719.457245101,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42512,21,76
0.0000,54000.0000,1776783719.478939215,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59248,443,76
0.0000,54000.0000,1776783719.491336752,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59250,443,76
1.0009,54001.0009,1776783720.301853676,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42516,21,76
1.0009,54001.0009,1776783720.307699122,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42528,21,76
1.0009,54001.0009,1776783720.313244303,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59258,443,76
1.0009,54001.0009,1776783720.340616375,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42532,21,76
1.0009,54001.0009,1776783720.466083870,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42512,21,76
1.0009,54001.0009,1776783720.498049750,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59250,443,76
1.0009,54001.0009,1776783720.498051260,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59248,443,76
2.0013,54002.0013,1776783721.330041602,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59258,443,76
2.0013,54002.0013,1776783721.330043321,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42528,21,76
2.0013,54002.0013,1776783721.330044637,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42516,21,76
2.0013,54002.0013,1776783721.362056184,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42532,21,76
3.0011,54003.0011,1776783722.302655770,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59266,443,76
3.0011,54003.0011,1776783722.314369425,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59268,443,76
3.0011,54003.0011,1776783722.337255519,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59276,443,76
3.0011,54003.0011,1776783722.350990392,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42534,21,76
3.0011,54003.0011,1776783722.482087115,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42512,21,76
3.0011,54003.0011,1776783722.514067331,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59250,443,76
3.0011,54003.0011,1776783722.514073872,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59248,443,76
4.0011,54004.0011,1776783723.305831486,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59292,443,76
4.0011,54004.0011,1776783723.314055597,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59266,443,76
4.0011,54004.0011,1776783723.328418716,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59306,443,76
4.0011,54004.0011,1776783723.346057784,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42516,21,76
4.0011,54004.0011,1776783723.346059917,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42528,21,76
4.0011,54004.0011,1776783723.346061659,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59268,443,76
4.0011,54004.0011,1776783723.346082642,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59258,443,76
4.0011,54004.0011,1776783723.350034157,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59276,443,76
4.0011,54004.0011,1776783723.378060254,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42534,21,76
4.0011,54004.0011,1776783723.378062297,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42532,21,76
5.0011,54005.0011,1776783724.306075548,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59292,443,76
5.0011,54005.0011,1776783724.338061336,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59306,443,76
6.0011,54006.0011,1776783725.304417029,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59314,443,76
6.0011,54006.0011,1776783725.315581718,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59326,443,76
6.0011,54006.0011,1776783725.330060647,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59266,443,76
6.0011,54006.0011,1776783725.337217550,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59340,443,76
6.0011,54006.0011,1776783725.362063697,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59276,443,76
6.0011,54006.0011,1776783725.366081712,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59268,443,76
6.0011,54006.0011,1776783725.398039259,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42534,21,76
7.0011,54007.0011,1776783726.322032825,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59292,443,76
7.0011,54007.0011,1776783726.322034545,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59314,443,76
7.0011,54007.0011,1776783726.322036076,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59326,443,76
7.0011,54007.0011,1776783726.354037432,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59340,443,76
7.0011,54007.0011,1776783726.354045599,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59306,443,76
7.0011,54007.0011,1776783726.514109375,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42512,21,76
7.0011,54007.0011,1776783726.770076631,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59248,443,76
7.0011,54007.0011,1776783726.770078766,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59250,443,76
9.0015,54009.0015,1776783727.538041384,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,42528,21,76
