virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
0.0000,54000.0000,1776789231.977222840,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50350,21,76
0.0000,54000.0000,1776789232.032405167,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59668,443,76
1.0011,54001.0011,1776789232.978049547,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50350,21,76
1.0011,54001.0011,1776789233.042084105,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59668,443,76
2.0012,54002.0012,1776789233.842809192,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59674,443,76
3.0011,54003.0011,1776789234.837125830,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50356,21,76
3.0011,54003.0011,1776789234.845419604,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50370,21,76
3.0011,54003.0011,1776789234.866084847,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59674,443,76
3.0011,54003.0011,1776789234.994083419,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50350,21,76
3.0011,54003.0011,1776789235.058054504,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59668,443,76
4.0012,54004.0012,1776789235.844208769,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50384,21,76
4.0012,54004.0012,1776789235.862029299,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50370,21,76
4.0012,54004.0012,1776789235.862062088,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50356,21,76
5.0011,54005.0011,1776789236.850046924,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,50384,21,76
5.0011,54005.0011,1776789236.866950965,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,34980,443,76
5.0011,54005.0011,1776789236.876143230,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,34986,443,76
5.0011,54005.0011,1776789236.879009719,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,35120,21,76
5.0011,54005.0011,1776789236.886089711,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,59674,443,76
6.0011,54006.0011,1776789237.828918939,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,35128,21,76
