virtual_timestamp,time_of_day,real_timestamp,protocols,src_ip,dst_ip,src_port,dst_port,length
0.0000,14400.0000,1776785555.480793422,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47514,443,76
0.0000,14400.0000,1776785555.495226986,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47528,443,76
0.0000,14400.0000,1776785555.662688833,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47534,443,76
0.0000,14400.0000,1776785555.707358247,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47536,443,76
0.0000,14400.0000,1776785555.724966797,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47550,443,76
1.0008,14401.0008,1776785556.306076459,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47556,443,76
1.0008,14401.0008,1776785556.330505274,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48692,21,76
1.0008,14401.0008,1776785556.339363565,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48706,21,76
1.0008,14401.0008,1776785556.360124376,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47566,443,76
1.0008,14401.0008,1776785556.411361981,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47576,443,76
1.0008,14401.0008,1776785556.462264012,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47580,443,76
1.0008,14401.0008,1776785556.488684320,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47596,443,76
1.0008,14401.0008,1776785556.498038662,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47514,443,76
1.0008,14401.0008,1776785556.498040016,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47528,443,76
1.0008,14401.0008,1776785556.531671305,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48708,21,76
1.0008,14401.0008,1776785556.690089995,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47534,443,76
1.0008,14401.0008,1776785556.722077930,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47536,443,76
1.0008,14401.0008,1776785556.754042280,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47550,443,76
2.0011,14402.0011,1776785557.306114375,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44468,443,76
2.0011,14402.0011,1776785557.334039730,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47556,443,76
2.0011,14402.0011,1776785557.336321410,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49042,21,76
2.0011,14402.0011,1776785557.346182744,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49044,21,76
2.0011,14402.0011,1776785557.353315532,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,49054,21,76
2.0011,14402.0011,1776785557.362053910,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48692,21,76
2.0011,14402.0011,1776785557.366043338,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,48706,21,76
2.0011,14402.0011,1776785557.366045035,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,47566,443,76
2.0011,14402.0011,1776785557.370320666,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44482,443,76
2.0011,14402.0011,1776785557.398589989,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44498,443,76
2.0011,14402.0011,1776785557.412803948,sll:ethertype:ip:tcp,10.0.0.1,10.0.0.2,44506,443,76
